showtimeId,movieTitle,theaterName,localDate,localTime,totalSeats,availableSeats,ticketPrice
53,Everyone under up,"Martinez, Rose and Jackson Cinemas",2026-07-22,21:30:00,80,70,18.93
54,Choose son,Herman-Martin Cinemas,2026-07-09,19:00:00,150,129,8.93
55,Feel present,Ortiz Ltd Cinemas,2026-07-02,21:30:00,120,120,14.3
56,Yet discuss relate,"Ho, Little and Leon Cinemas",2026-08-19,13:00:00,150,142,19.04
57,Difficult worry often image,Wilson-Pierce Cinemas,2026-08-13,16:00:00,250,244,22.16
58,Particular book,Villa Group Cinemas,2026-07-14,13:00:00,180,176,21.28
59,Common color,Hardy PLC Cinemas,2026-06-26,13:00:00,300,293,14.25
60,Ask manager,Gibson-Thomas Cinemas,2026-08-10,16:00:00,150,149,21.21
61,Baby rather,"Ramsey, Martinez and Sherman Cinemas",2026-07-09,10:00:00,250,239,20.4
62,Factor remember,Herrera-Coleman Cinemas,2026-07-23,16:00:00,180,173,10.03
63,Model remember,Hall-Mckinney Cinemas,2026-08-30,19:00:00,100,96,9.73
64,Morning trial security,"Morales, Miller and Harrell Cinemas",2026-07-15,13:00:00,150,137,23.81
65,Far these,Sellers LLC Cinemas,2026-07-24,21:30:00,200,191,13.56
66,Partner wait require,"Chen, Faulkner and Casey Cinemas",2026-09-01,10:00:00,250,248,24.97
67,Lose animal,Turner Inc Cinemas,2026-09-02,21:30:00,100,86,21.64
68,Him song already,Smith-Clayton Cinemas,2026-07-31,19:00:00,300,286,19.75
69,Able quickly,"Patterson, Mosley and Michael Cinemas",2026-07-15,21:30:00,80,70,11.8
70,Local choose as,Baldwin-Garcia Cinemas,2026-06-29,16:00:00,200,193,17.16
71,Town affect shoulder,Patterson-Lawrence Cinemas,2026-08-22,10:00:00,180,180,18.34
72,Central design affect,Rodriguez-Hernandez Cinemas,2026-08-30,13:00:00,100,83,16.24
73,Why citizen,Obrien and Sons Cinemas,2026-09-04,13:00:00,300,291,21.99
74,Home magazine,Brown-Ross Cinemas,2026-08-26,21:30:00,200,186,21.78
75,Sometimes charge,"Thomas, White and Jensen Cinemas",2026-08-20,13:00:00,120,106,10.33
76,Structure whom,"James, Howard and Johnson Cinemas",2026-07-29,19:00:00,300,268,14.15
77,Worker message truth present,Edwards PLC Cinemas,2026-06-24,16:00:00,100,92,19.83
78,South moment alone interview,"Gonzales, Smith and Davis Cinemas",2026-08-12,21:30:00,100,87,18.14
79,Respond writer take,Bush-Ayala Cinemas,2026-07-04,16:00:00,80,74,11.2
80,Get condition goal,Carroll-Snyder Cinemas,2026-07-26,13:00:00,250,244,10.65
81,Personal word,"Strickland, Mccormick and Santos Cinemas",2026-07-24,19:00:00,120,107,23.22
82,Wife reflect nearly service,Hill-Guerra Cinemas,2026-07-09,13:00:00,180,164,23.45
83,Less agreement window,Huynh PLC Cinemas,2026-08-09,19:00:00,300,294,12.47
84,Save national can,Wilson-Pierce Cinemas,2026-07-14,10:00:00,250,233,15.92
85,Nation,Rojas and Sons Cinemas,2026-09-05,13:00:00,150,148,8.04
86,Site unit response,Moran PLC Cinemas,2026-08-09,13:00:00,180,176,11.8
87,Economy home,Morrison-Simmons Cinemas,2026-08-08,16:00:00,250,239,24.85
88,Radio development,"Olson, Hebert and Jones Cinemas",2026-08-07,13:00:00,180,178,22.12
89,Former east,"Mckee, Gardner and Davenport Cinemas",2026-07-04,19:00:00,200,195,24.85
90,Research once medical,"Kennedy, Cohen and Pennington Cinemas",2026-09-03,19:00:00,80,77,18.52
91,Walk effort,"Williams, Newman and Jones Cinemas",2026-07-12,19:00:00,120,106,16.6
92,Mr same between,Wallace-Berry Cinemas,2026-08-06,19:00:00,100,90,19.16
93,Friend develop heart,Raymond LLC Cinemas,2026-08-22,21:30:00,180,174,12.77
94,Can its,"Frazier, Ramirez and Brown Cinemas",2026-07-01,21:30:00,250,250,9.02
95,Movement cup prepare,Fitzgerald-Scott Cinemas,2026-07-13,13:00:00,120,103,10.66
96,Explain,Mcmahon PLC Cinemas,2026-07-26,19:00:00,100,100,18.68
97,Building truth success cause,Robertson-Hays Cinemas,2026-08-16,16:00:00,200,183,11.94
98,Big once,Johnson and Sons Cinemas,2026-08-21,19:00:00,300,292,13.02
99,Quickly week,"Hatfield, Edwards and Brown Cinemas",2026-07-25,21:30:00,150,150,8.21
100,Analysis matter,Lyons PLC Cinemas,2026-08-15,13:00:00,100,96,22.36
101,Unit law,Morgan-Ortega Cinemas,2026-06-30,19:00:00,100,87,20.6
102,Similar choice draw,Costa-Johnston Cinemas,2026-06-30,10:00:00,300,289,14.39
103,Her cover,"Santos, Moody and Taylor Cinemas",2026-07-05,21:30:00,300,291,15.76
104,Design short take,Rodriguez PLC Cinemas,2026-07-29,21:30:00,150,144,8.8
105,Key thus,"Bautista, Allen and Harrell Cinemas",2026-08-08,19:00:00,180,170,14.6
106,Blue near serve,"Young, Allen and Hernandez Cinemas",2026-07-27,21:30:00,180,161,24.79
107,Human work case society,Horne Inc Cinemas,2026-08-12,10:00:00,120,117,19.14
108,Policy seek,Pham Ltd Cinemas,2026-07-01,13:00:00,180,170,18.55
109,More experience read,Parks Ltd Cinemas,2026-08-23,13:00:00,180,176,22.49
110,Loss be federal right,Andrews-Green Cinemas,2026-06-27,10:00:00,200,192,9.71
111,Personal anything both,"Watts, Robinson and Nguyen Cinemas",2026-08-20,19:00:00,180,177,13.36
112,Sea for tree,"Ramirez, Fuller and Wilkins Cinemas",2026-08-31,10:00:00,250,234,11.15
113,Art miss house,Scott-Perez Cinemas,2026-06-28,10:00:00,120,110,14.73
114,Guy visit concern,Johnson-Alvarez Cinemas,2026-06-26,16:00:00,150,136,11.63
115,Service hope value,"Larsen, Hernandez and Ward Cinemas",2026-08-19,13:00:00,80,62,18.56
116,Parent strategy not,Hernandez Inc Cinemas,2026-07-24,10:00:00,80,69,13.41
117,Identify political yeah,Gibson-Gardner Cinemas,2026-07-10,10:00:00,120,118,24.73
118,Year respond,White-Morales Cinemas,2026-09-01,16:00:00,120,106,23.97
119,Generation main,Acosta and Sons Cinemas,2026-08-19,16:00:00,150,122,10.67
120,As indeed can,Villa Group Cinemas,2026-07-08,10:00:00,200,194,23.8
121,Knowledge poor around,"Henry, Edwards and Bartlett Cinemas",2026-08-17,19:00:00,180,167,22.6
122,Impact compare after,Ryan-West Cinemas,2026-07-09,10:00:00,150,147,16.84
123,Range pressure but,"Bailey, Armstrong and Campbell Cinemas",2026-08-18,19:00:00,250,230,12.52
124,Name picture tend,"Castro, Irwin and Rodriguez Cinemas",2026-06-27,19:00:00,80,80,13.23
125,Theory determine at,Mendoza-Jackson Cinemas,2026-08-20,10:00:00,180,170,11.0
126,Clear bag,Norris Inc Cinemas,2026-07-01,10:00:00,120,107,10.62
127,Knowledge you,Smith-Carrillo Cinemas,2026-07-21,21:30:00,180,175,19.49
128,Floor force leave,"Medina, Green and Rivera Cinemas",2026-07-26,13:00:00,150,144,20.11
129,Choose mother health,"Patterson, Mosley and Michael Cinemas",2026-07-14,21:30:00,250,235,11.68
130,Idea able,Smith-James Cinemas,2026-06-26,10:00:00,120,110,24.53
131,Growth continue,Thomas-Wiggins Cinemas,2026-08-12,19:00:00,180,158,14.64
132,Step different,"White, Smith and Warner Cinemas",2026-07-15,19:00:00,250,244,19.67
133,Skin these society,Robertson-Hays Cinemas,2026-06-29,10:00:00,80,75,12.44
134,Sea character none,Gutierrez-Ortiz Cinemas,2026-06-28,19:00:00,100,94,12.82
135,Picture couple,White-Richards Cinemas,2026-06-23,10:00:00,120,108,9.15
136,Six represent data,"Weiss, Cole and Preston Cinemas",2026-08-01,10:00:00,100,100,19.73
137,Protect red recent,Holden LLC Cinemas,2026-07-26,21:30:00,150,142,11.2
138,Moment professional cup,Todd Group Cinemas,2026-06-28,16:00:00,80,66,13.21
139,Name also,Shaffer-Yates Cinemas,2026-07-29,21:30:00,250,224,8.18
140,Analysis how,Smith-Wilson Cinemas,2026-09-01,19:00:00,150,137,17.96
141,Offer and,"Hall, Jackson and Johnson Cinemas",2026-07-14,16:00:00,80,77,20.93
142,Commercial firm,Lambert-Anderson Cinemas,2026-07-30,19:00:00,80,67,12.61
143,Central sit protect,Martinez-Dunlap Cinemas,2026-08-12,21:30:00,180,174,10.36
144,National than,Woods-Mccarthy Cinemas,2026-09-06,10:00:00,120,118,19.26
145,Six see rate customer,"Schaefer, Barry and Espinoza Cinemas",2026-07-16,16:00:00,120,116,10.2
146,Perform heavy hit,Miller and Sons Cinemas,2026-08-11,21:30:00,300,285,17.94
147,Particular include really,Ward-Blake Cinemas,2026-07-25,13:00:00,150,141,21.6
148,Fill billion general,Lowery LLC Cinemas,2026-07-29,19:00:00,180,177,13.42
149,City now,Williams Ltd Cinemas,2026-07-28,16:00:00,150,143,8.14
150,Agree type,Martinez Ltd Cinemas,2026-09-05,19:00:00,180,168,8.47
151,Walk room adult,"Jackson, Andersen and Bowen Cinemas",2026-08-06,19:00:00,180,174,16.99
152,Company medical house,Jackson-Campbell Cinemas,2026-08-04,19:00:00,200,180,15.09
153,Because scientist,Harris-Jensen Cinemas,2026-08-20,13:00:00,120,117,18.35
154,Remain method,"White, Burch and Reynolds Cinemas",2026-06-24,10:00:00,180,167,19.98
155,Worker have still,Thomas and Sons Cinemas,2026-07-07,13:00:00,120,104,20.76
156,Worker himself,Hernandez Group Cinemas,2026-08-31,10:00:00,180,176,16.42
157,Doctor you,Rodriguez-Miller Cinemas,2026-09-01,19:00:00,300,288,8.33
158,Keep manager,Jackson Ltd Cinemas,2026-07-25,21:30:00,100,94,19.44
159,Build pay,Barrera Group Cinemas,2026-06-23,19:00:00,200,182,23.89
160,On,"Medina, Green and Rivera Cinemas",2026-08-29,13:00:00,100,90,24.57
161,Race choose toward,"Schultz, Miller and Wolf Cinemas",2026-08-10,13:00:00,200,172,16.67
162,Art,"Hull, Haynes and Garcia Cinemas",2026-08-25,10:00:00,80,63,9.12
163,American return need,Blevins-Ballard Cinemas,2026-08-20,19:00:00,100,97,8.94
164,Thousand move,Santos-Wood Cinemas,2026-07-20,13:00:00,150,138,14.0
165,Place growth staff,"Davis, Rodriguez and Andrews Cinemas",2026-08-19,19:00:00,120,89,24.61
166,Friend strong,Snyder-Williams Cinemas,2026-08-20,16:00:00,100,100,15.14
167,Because answer class company,Lee-Fox Cinemas,2026-08-02,21:30:00,200,189,8.72
168,Husband energy know,Harris PLC Cinemas,2026-08-20,16:00:00,100,90,19.02
169,None head,Reese Group Cinemas,2026-07-17,13:00:00,250,232,13.8
170,Though though walk,Morton and Sons Cinemas,2026-07-25,16:00:00,100,77,14.06
171,Force focus,Howe Inc Cinemas,2026-07-26,21:30:00,100,80,15.16
172,Bad many worry agreement,Guzman-Montoya Cinemas,2026-09-05,13:00:00,80,73,11.58
173,Which concern,Johnson and Sons Cinemas,2026-08-09,10:00:00,80,74,21.55
174,Approach suggest save,Wilkerson-Davis Cinemas,2026-06-27,21:30:00,150,130,24.8
175,Indeed just history,"Navarro, Marsh and Hurst Cinemas",2026-08-08,16:00:00,300,290,11.02
176,Especially,Green-Ewing Cinemas,2026-08-27,21:30:00,100,93,11.9
177,Fight save,Ortiz Ltd Cinemas,2026-08-14,13:00:00,100,97,17.87
178,Law degree police,"Gibson, Zimmerman and Warren Cinemas",2026-08-08,21:30:00,150,133,8.17
179,Also daughter,"Russell, Murphy and Davis Cinemas",2026-07-19,21:30:00,250,238,11.86
180,Huge treatment later,"Hall, Jackson and Johnson Cinemas",2026-08-20,21:30:00,100,89,24.4
181,Interest physical,Gonzalez-Mccarthy Cinemas,2026-09-06,13:00:00,150,133,8.55
182,Week color,Rowe-Jones Cinemas,2026-07-01,21:30:00,120,115,13.3
183,Our respond,Atkinson-Nelson Cinemas,2026-08-08,13:00:00,300,284,18.79
184,Hour story stay,Peterson-Mullins Cinemas,2026-07-12,21:30:00,180,169,14.49
185,Local school people present,"Davis, Richardson and Gonzalez Cinemas",2026-08-28,10:00:00,80,72,11.12
186,Argue sense something,Mccoy-Strickland Cinemas,2026-07-05,16:00:00,300,298,8.87
187,Almost agency already,Black-Mccoy Cinemas,2026-08-31,10:00:00,120,116,13.6
188,Citizen then,Sanchez-Douglas Cinemas,2026-08-10,16:00:00,100,84,23.87
189,Lot public,"Medina, Green and Rivera Cinemas",2026-08-22,10:00:00,200,185,19.69
190,Choose power customer,Burns-Nguyen Cinemas,2026-08-04,21:30:00,300,281,19.23
191,Several could thus me,"Rivera, Gomez and Levine Cinemas",2026-07-02,16:00:00,100,94,12.23
192,Discuss create,Duke-Schultz Cinemas,2026-08-10,16:00:00,80,59,19.12
193,Ball today despite,"Wright, Mcknight and Stephens Cinemas",2026-08-04,16:00:00,300,290,12.63
194,Of him draw,"Herrera, Jensen and Ramirez Cinemas",2026-08-31,19:00:00,300,288,14.83
195,Perform home million,Huynh PLC Cinemas,2026-08-08,16:00:00,200,168,18.25
196,Subject again,Carney Group Cinemas,2026-08-28,13:00:00,150,147,15.24
197,Tell,"Duarte, Smith and Caldwell Cinemas",2026-08-11,16:00:00,250,239,23.8
198,Open scientist,Hill-Evans Cinemas,2026-07-17,21:30:00,300,299,14.15
199,Yes month,Hoover-Parrish Cinemas,2026-08-04,13:00:00,100,81,13.28
200,Meet while car,Landry-Hill Cinemas,2026-08-27,19:00:00,100,78,17.86
201,Science experience successful,"Cain, Contreras and Jackson Cinemas",2026-07-24,16:00:00,120,110,9.97
202,Miss international become,Hoffman PLC Cinemas,2026-08-14,10:00:00,80,69,10.41
203,According event change,Stafford Ltd Cinemas,2026-07-30,16:00:00,150,143,9.42
204,Like,Payne PLC Cinemas,2026-08-16,10:00:00,180,172,21.34
205,Bill discuss four,Mills and Sons Cinemas,2026-06-25,13:00:00,180,173,24.57
206,Institution road PM,Brown-Ross Cinemas,2026-08-16,10:00:00,300,287,13.32
207,Let building,Hansen-Schneider Cinemas,2026-08-31,21:30:00,250,238,13.99
208,Past degree,Munoz-Stokes Cinemas,2026-06-24,10:00:00,300,279,24.1
209,Tree allow,Peterson-Mullins Cinemas,2026-07-01,21:30:00,80,74,21.78
210,Third according,Delgado Inc Cinemas,2026-08-04,10:00:00,150,148,20.53
211,Activity record,Newton PLC Cinemas,2026-08-13,13:00:00,120,107,17.69
212,Themselves little game,Moore Group Cinemas,2026-06-27,21:30:00,150,141,8.49
213,Agent also,Owens-Mayer Cinemas,2026-07-26,16:00:00,150,133,21.14
214,Worry wish ask,Valdez-Jacobs Cinemas,2026-09-03,10:00:00,80,78,23.73
215,Movement involve,"Jackson, Andersen and Bowen Cinemas",2026-07-08,21:30:00,80,64,13.77
216,Series,Miller-Booker Cinemas,2026-08-13,21:30:00,100,94,15.73
217,Cultural money something,Mendoza Group Cinemas,2026-07-24,16:00:00,300,282,23.82
218,Visit PM this,"Anderson, Velazquez and Stewart Cinemas",2026-08-31,19:00:00,180,165,17.17
219,Newspaper,Hunter-Estrada Cinemas,2026-08-08,16:00:00,300,291,19.69
220,Military everybody ability,"Moore, Gilmore and Martin Cinemas",2026-07-26,21:30:00,120,105,13.73
221,Give billion if,"Moss, Kelly and Herman Cinemas",2026-06-30,21:30:00,250,234,8.71
222,Remember hot,Gallegos-Turner Cinemas,2026-07-11,16:00:00,180,175,22.93
223,More cultural whatever risk,Benson Inc Cinemas,2026-08-03,19:00:00,100,87,8.14
224,More current,Patterson-Lawrence Cinemas,2026-06-23,13:00:00,180,147,24.79
225,Unit soon at,"Sanders, Leblanc and Maldonado Cinemas",2026-08-05,16:00:00,250,239,22.19
226,There,"Frye, Hoffman and Santiago Cinemas",2026-08-25,10:00:00,120,106,17.01
227,People tax amount author,Ortega Group Cinemas,2026-08-19,21:30:00,150,142,14.7
228,Today,"Trevino, Henderson and Gonzalez Cinemas",2026-08-08,16:00:00,300,298,11.97
229,Human bank,Ferguson and Sons Cinemas,2026-09-06,19:00:00,150,135,12.89
230,They street month current,Elliott Group Cinemas,2026-07-08,19:00:00,300,276,23.37
231,Speak out hour,"Chase, Prince and Wilcox Cinemas",2026-08-03,16:00:00,120,119,13.66
232,Man member partner,"Whitney, Mayo and Clark Cinemas",2026-07-10,21:30:00,180,176,15.09
233,Try hundred foreign,Hudson-Sparks Cinemas,2026-08-19,13:00:00,200,199,17.33
234,Minute impact,Hill Inc Cinemas,2026-08-18,13:00:00,80,59,8.27
235,Analysis position respond person,"Kennedy, Mueller and Aguirre Cinemas",2026-07-17,13:00:00,80,62,15.86
236,Worker eight,Blevins-Ballard Cinemas,2026-07-31,13:00:00,180,161,17.04
237,Other century office,George-Myers Cinemas,2026-06-28,19:00:00,250,243,18.73
238,Scene understand,Ortiz Ltd Cinemas,2026-08-08,10:00:00,250,239,13.4
239,Site,"Brown, Armstrong and Johnson Cinemas",2026-08-18,13:00:00,250,227,9.68
240,Industry water,Bradley-Davis Cinemas,2026-08-09,21:30:00,200,184,13.95
241,Election option almost,"Sanchez, Terry and Turner Cinemas",2026-08-08,10:00:00,250,241,18.49
242,Manager store,Roman-Freeman Cinemas,2026-07-09,13:00:00,120,108,23.65
243,Job prepare either suffer,Johnson Ltd Cinemas,2026-07-11,21:30:00,120,105,11.5
244,Attack sort religious,"Blanchard, Taylor and Porter Cinemas",2026-08-12,13:00:00,100,99,12.15
245,Ahead get federal happen,Ruiz-Rivera Cinemas,2026-08-18,21:30:00,180,165,13.6
246,Box ten class,Goodwin Inc Cinemas,2026-08-25,10:00:00,300,285,14.39
247,Development me need,Martinez Ltd Cinemas,2026-07-28,21:30:00,80,54,11.31
248,Federal throw,Hall-Washington Cinemas,2026-09-06,13:00:00,200,192,17.66
249,Time feel,Singleton-King Cinemas,2026-07-19,19:00:00,200,182,12.04
250,Local,"Nichols, Glover and Knox Cinemas",2026-08-19,19:00:00,180,155,24.68
251,Any president item,Gonzalez LLC Cinemas,2026-08-05,10:00:00,250,239,18.01
252,Public benefit family,"Warner, Carr and Archer Cinemas",2026-07-24,16:00:00,80,79,18.3
253,Whose third,"Bautista, Allen and Harrell Cinemas",2026-07-28,19:00:00,80,64,14.56
254,Whose campaign help,Turner Inc Cinemas,2026-08-23,21:30:00,100,92,12.51
255,War within prevent even,"Miller, Hansen and Salas Cinemas",2026-07-26,21:30:00,200,191,23.88
256,Talk able,Mccarthy-Kelly Cinemas,2026-06-23,21:30:00,80,71,23.84
257,Way nor,Gallegos-Turner Cinemas,2026-07-21,21:30:00,200,199,9.13
258,Bit red,"Moore, Gilmore and Martin Cinemas",2026-07-25,10:00:00,300,296,19.61
259,Focus discussion land,Hall-Washington Cinemas,2026-08-31,19:00:00,120,97,14.44
260,Simple Mr financial,"Gonzales, Short and Weaver Cinemas",2026-07-28,21:30:00,250,234,17.49
261,Turn,Lopez-Thompson Cinemas,2026-07-31,13:00:00,250,249,15.33
262,Charge a data red,"Sanchez, Terry and Turner Cinemas",2026-08-19,13:00:00,120,118,24.95
263,Easy win leg,"Howard, Brennan and Moore Cinemas",2026-08-12,16:00:00,180,173,21.27
264,Along surface,"Cain, Contreras and Jackson Cinemas",2026-08-19,21:30:00,200,181,23.59
265,Start party stock think,Barnett PLC Cinemas,2026-08-31,10:00:00,80,77,15.62
266,Soldier current body,Sutton-Patterson Cinemas,2026-09-03,21:30:00,250,226,12.95
267,Far,James LLC Cinemas,2026-07-26,13:00:00,200,179,13.91
268,Stage similar power,Shaw-Barnes Cinemas,2026-08-23,16:00:00,180,164,11.6
269,Relate,Sullivan and Sons Cinemas,2026-08-31,10:00:00,200,194,21.2
270,Change author expect,"Lawson, Lopez and Myers Cinemas",2026-06-25,10:00:00,100,93,21.79
271,If now television,"Castro, Irwin and Rodriguez Cinemas",2026-07-31,13:00:00,120,120,18.72
272,Training tough decision,"Castro, Irwin and Rodriguez Cinemas",2026-08-29,10:00:00,120,112,22.21
273,Focus red support,"Compton, Owens and Decker Cinemas",2026-08-16,19:00:00,120,109,15.39
274,Window evening Mr,"Moore, Alexander and Reed Cinemas",2026-07-28,19:00:00,250,250,16.26
275,Other community data,Miller and Sons Cinemas,2026-08-15,10:00:00,200,190,13.84
276,Partner usually glass example,"Johns, Figueroa and Graham Cinemas",2026-07-27,19:00:00,300,289,23.74
277,Artist,"Cooke, Meadows and Robles Cinemas",2026-08-01,19:00:00,250,244,10.09
278,Machine short,Edwards and Sons Cinemas,2026-07-19,10:00:00,300,288,14.97
279,Amount attorney room,Rodriguez-Hernandez Cinemas,2026-08-23,13:00:00,200,179,11.16
280,Pass side,"Ramsey, Martinez and Sherman Cinemas",2026-08-19,21:30:00,250,250,24.32
281,Discover threat if,Davenport-Reynolds Cinemas,2026-07-28,13:00:00,180,163,10.36
282,Start accept civil,Marshall Group Cinemas,2026-08-07,13:00:00,120,105,11.72
283,International thousand,"Cox, Ford and Huffman Cinemas",2026-07-02,19:00:00,180,154,16.17
284,Lead,Garcia LLC Cinemas,2026-07-05,21:30:00,200,188,13.65
285,Bank though,"Roberts, Stanton and Smith Cinemas",2026-08-13,16:00:00,80,59,19.36
286,Light involve all,"Thomas, Moreno and Smith Cinemas",2026-06-27,16:00:00,200,192,22.94
287,Front light four,White-Morales Cinemas,2026-07-17,21:30:00,250,249,20.44
288,Organization full,"Wise, Rocha and Wolfe Cinemas",2026-08-17,10:00:00,300,293,13.84
289,Hope official dark,Smith-Patel Cinemas,2026-07-15,13:00:00,80,74,23.85
290,Three low,Hoffman PLC Cinemas,2026-08-22,19:00:00,300,276,10.25
291,Memory final both,Garner LLC Cinemas,2026-06-28,16:00:00,300,292,18.93
292,Seat truth,Watson-Chan Cinemas,2026-07-10,13:00:00,300,289,24.75
293,Save job shoulder,Clark Group Cinemas,2026-08-28,16:00:00,300,291,10.47
294,Positive describe,Fitzgerald-Scott Cinemas,2026-07-03,19:00:00,250,236,19.43
295,Politics,"Myers, Gamble and Sanford Cinemas",2026-08-23,21:30:00,80,74,17.68
296,Draw should personal,Harris-Wright Cinemas,2026-08-16,10:00:00,120,120,20.12
297,Job personal bank grow,Nolan Group Cinemas,2026-07-16,10:00:00,80,78,12.35
298,Sea professor might,"Young, Henry and Wright Cinemas",2026-07-21,19:00:00,120,111,16.53
299,Pm protect,Obrien and Sons Cinemas,2026-07-19,13:00:00,200,183,22.47
300,With international citizen,"Nguyen, Marsh and Beck Cinemas",2026-07-22,13:00:00,100,90,23.87
301,Fast public decade smile,Henderson-Parks Cinemas,2026-07-23,19:00:00,80,62,15.71
302,Institution study along,Brown LLC Cinemas,2026-08-11,10:00:00,100,80,15.14
303,Beyond interesting,Moreno Ltd Cinemas,2026-09-02,16:00:00,200,197,9.63
304,Machine old,"Good, Brewer and Fisher Cinemas",2026-08-15,13:00:00,180,164,16.65
305,Majority deep,"Marquez, Martinez and Bailey Cinemas",2026-08-01,19:00:00,80,70,8.24
306,Laugh difference less,"Hamilton, Wolfe and Gill Cinemas",2026-08-22,19:00:00,150,145,16.28
307,Behavior cultural,Maldonado-Becker Cinemas,2026-08-06,16:00:00,100,89,10.76
308,Trial show single religious,Wright and Sons Cinemas,2026-07-20,19:00:00,200,196,23.38
